title,singer,music_director,actor,genre,language,movie_name,album,year,duration_seconds,audio_file_path,moods
It Isn't True,Sid Sriram,,,Telugu,Telugu,,It Isn't True - Single,,187,songs/sid_sriram_it_isnt_true.mp3,romantic
"Kadalalle (From ""Dear Comrade"")",Sid Sriram,,,Telugu,Telugu,,Musical Beat With Tollywood Superhits,,260,songs/sid_sriram_kadalalle_from_dear_comrade.mp3,romantic
Vellipomaake,Sid Sriram,,,Telugu,Telugu,,Saahasam Swaasaga Saagipo (Original Motion Picture Soundtrack),,261,songs/sid_sriram_vellipomaake.mp3,romantic
Srivalli,Sid Sriram,,,Telugu,Telugu,,Pushpa - The Rise (Telugu),,221,songs/sid_sriram_srivalli.mp3,romantic
High On Love,Sid Sriram,,,Telugu,Telugu,,,,240,songs/sid_sriram_high_on_love.mp3,romantic
Dear Sahana,Sid Sriram,,,Telugu,Telugu,,Dear Sahana,,307,songs/sid_sriram_dear_sahana.mp3,romantic
Quiet Storm,Sid Sriram,,,Telugu,Telugu,,Sidharth,,340,songs/sid_sriram_quiet_storm.mp3,romantic
Yaen Ennai Pirindhaai - Tamil,Sid Sriram,,,Telugu,Telugu,,,,,songs/sid_sriram_yaen_ennai_pirindhaai_tamil.mp3,romantic
"Arerey Manasa (From ""Falaknuma Das"")",Sid Sriram,,,Telugu,Telugu,,Arerey Manasa,,301,songs/sid_sriram_arerey_manasa_from_falaknuma_das.mp3,romantic
Leharaayi,Sid Sriram,,,Telugu,Telugu,,Most Eligible Bachelor (Original Motion Picture Soundtrack),,,songs/sid_sriram_leharaayi.mp3,romantic
"The One (From ""Retro"")",Sid Sriram,,,Telugu,Telugu,,"The One (From ""Retro"") - Single",,239,songs/sid_sriram_the_one_from_retro.mp3,romantic
